item_id,authors,title,venue,year
405032,"['Xuebo Liu 0002', 'Yutong Wang', 'Derek F. Wong', 'Runzhe Zhan', 'Liangxuan Yu', 'Min Zhang 0005']","Revisiting Commonsense Reasoning in Machine Translation: Training, Evaluation and Challenge.",ACL,2023
405033,"['Yiyang Li 0002', 'Hai Zhao 0001']",EM Pre-training for Multi-party Dialogue Response Generation.,ACL,2023
405036,"['Jie Lei 0003', 'Tamara L. Berg', 'Mohit Bansal']",Revealing Single Frame Bias for Video-and-Language Learning.,ACL,2023
405037,"['Zhaowei Wang 0003', 'Quyet V. Do', 'Hongming Zhang 0009', 'Jiayao Zhang 0001', 'Weiqi Wang 0001', 'Tianqing Fang', 'Yangqiu Song', 'Ginny Y. Wong', 'Simon See']",COLA: Contextualized Commonsense Causal Reasoning from the Causal Inference Perspective.,ACL,2023
405038,"['Man Luo 0003', 'Zhiyuan Fang', 'Tejas Gokhale', 'Yezhou Yang', 'Chitta Baral']",End-to-end Knowledge Retrieval with Multi-modal Queries.,ACL,2023
405041,"['Qi Jia 0003', 'Yizhu Liu', 'Haifeng Tang', 'Kenny Q. Zhu']",In-sample Curriculum Learning by Sequence Completion for Natural Language Generation.,ACL,2023
405043,"['Zhiyong Wu 0003', 'Yaoxiang Wang', 'Jiacheng Ye', 'Lingpeng Kong']",Self-Adaptive In-Context Learning: An Information Compression Perspective for In-Context Example Selection and Ordering.,ACL,2023
405045,"['Yan Zeng 0003', 'Wangchunshu Zhou', 'Ao Luo', 'Ziming Cheng', 'Xinsong Zhang']",Cross-View Language Modeling: Towards Unified Cross-Lingual Cross-Modal Pre-training.,ACL,2023
405046,"['Ran Zhou 0004', 'Xin Li 0056', 'Lidong Bing', 'Erik Cambria', 'Chunyan Miao']",Improving Self-training for Cross-lingual Named Entity Recognition with Contrastive and Prototype Learning.,ACL,2023
405048,"['Yuqing Yang 0004', 'Qipeng Guo', 'Xiangkun Hu', 'Yue Zhang', 'Xipeng Qiu', 'Zheng Zhang 0001']",An AMR-based Link Prediction Approach for Document-level Event Argument Extraction.,ACL,2023
405049,"['Yue Zhang 0004', 'Parisa Kordjamshidi']",VLN-Trans: Translator for the Vision and Language Navigation Agent.,ACL,2023
405052,"['Ashish Sharma 0004', 'Kevin Rushton', 'Inna E. Lin', 'David Wadden', 'Khendra G. Lucas', 'Adam S. Miner', 'Theresa Nguyen', 'Tim Althoff']",Cognitive Reframing of Negative Thoughts through Human-Language Model Interaction.,ACL,2023
405055,"['Xiao Xu 0005', 'Bei Li', 'Chenfei Wu', 'Shao-Yen Tseng', 'Anahita Bhiwandiwalla', 'Shachar Rosenman', 'Vasudev Lal', 'Wanxiang Che', 'Nan Duan']",ManagerTower: Aggregating the Insights of Uni-Modal Experts for Vision-Language Representation Learning.,ACL,2023
405059,"['Kun Zhao 0007', 'Bohao Yang', 'Chenghua Lin', 'Wenge Rong', 'Aline Villavicencio', 'Xiaohui Cui']",Evaluating Open-Domain Dialogues in Latent Space with Next Sentence Prediction and Mutual Information.,ACL,2023
405063,"['Chen Xu 0008', 'Xiaoqian Liu', 'Xiaowen Liu', 'Qingxuan Sun', 'Yuhao Zhang', 'Murun Yang', 'Qianqian Dong', 'Tom Ko', 'Mingxuan Wang', 'Tong Xiao', 'Anxiang Ma', 'Jingbo Zhu']",CTC-based Non-autoregressive Speech Translation.,ACL,2023
405069,"['Jun Yan 0012', 'Vansh Gupta', 'Xiang Ren 0001']",BITE: Textual Backdoor Attacks with Iterative Trigger Injection.,ACL,2023
405070,"['Hao Sun 0012', 'Zhexin Zhang', 'Fei Mi', 'Yasheng Wang', 'Wei Liu', 'Jianwei Cui', 'Bin Wang', 'Qun Liu 0001', 'Minlie Huang']",MoralDial: A Framework to Train and Evaluate Moral Dialogue Systems via Moral Discussions.,ACL,2023
405071,"['Hua Lu 0014', 'Siqi Bao', 'Huang He', 'Fan Wang', 'Hua Wu 0003', 'Haifeng Wang 0001']",Towards Boosting the Open-Domain Chatbot with Human Feedback.,ACL,2023
405072,"['Xiao Zhang 0036', 'Heyan Huang', 'Zewen Chi', 'Xian-Ling Mao']",Bridging The Gap: Entailment Fused-T5 for Open-retrieval Conversational Machine Reading Comprehension.,ACL,2023
405073,"['Rui Li 0086', 'Xu Chen', 'Chaozhuo Li 0001', 'Yanming Shen', 'Jianan Zhao 0002', 'Yujing Wang', 'Weihao Han', 'Hao Sun 0015', 'Weiwei Deng', 'Qi Zhang 0066', 'Xing Xie 0001']",To Copy Rather Than Memorize: A Vertical Learning Paradigm for Knowledge Graph Completion.,ACL,2023
405077,"['Mohamed Abdalla', 'Jan Philip Wahle', 'Terry Lima Ruas', 'Aurélie Névéol', 'Fanny Ducel', 'Saif M. Mohammad', 'Karën Fort']",The Elephant in the Room: Analyzing the Presence of Big Tech in Natural Language Processing Research.,ACL,2023
405078,"['Alafate Abulimiti', 'Chloé Clavel', 'Justine Cassell']",How About Kind of Generating Hedges using End-to-End Neural Models?,ACL,2023
405079,"['Griffin Adams', 'Alexander R. Fabbri', 'Faisal Ladhak', 'Noémie Elhadad', 'Kathleen R. McKeown']",Generating EDU Extracts for Plan-Guided Summary Re-Ranking.,ACL,2023
405080,"['Griffin Adams', 'Bichlien Nguyen', 'Jake Smith', 'Yingce Xia', 'Shufang Xie 0003', 'Anna Ostropolets', 'Budhaditya Deb', 'Yuan-Jyue Chen', 'Tristan Naumann', 'Noémie Elhadad']",What are the Desired Characteristics of Calibration Sets? Identifying Correlates on Long Form Scientific Summarization.,ACL,2023
405082,"['Leonard Adolphs', 'Tianyu Gao', 'Jing Xu', 'Kurt Shuster 0001', 'Sainbayar Sukhbaatar', 'Jason Weston']",The CRINGE Loss: Learning what language not to model.,ACL,2023
405086,"['Harsh Agrawal', 'Aditya Mishra', 'Manish Gupta', 'Mausam']",Multimodal Persona Based Generation of Comic Dialogs.,ACL,2023
405090,"['Sina Ahmadi', 'Antonios Anastasopoulos']",Script Normalization for Unconventional Writing of Under-Resourced Languages in Bilingual Communities.,ACL,2023
405092,"['Jaewoo Ahn', 'Yeda Song', 'Sangdoo Yun', 'Gunhee Kim']",MPCHAT: Towards Multimodal Persona-Grounded Conversation.,ACL,2023
405095,"['Xi Ai', 'Bin Fang 0001']",On-the-fly Cross-lingual Masking for Multilingual Pre-training.,ACL,2023
405098,"['Satoshi Akasaki', 'Naoki Yoshinaga 0001', 'Masashi Toyoda']",Early Discovery of Disappearing Entities in Microblogs.,ACL,2023
405099,"['Ibrahim Taha Aksu', 'Min-Yen Kan', 'Nancy F. Chen']",Prompter: Zero-shot Adaptive Prefixes for Dialogue State Tracking Domain Adaptation.,ACL,2023
405100,"['Ekin Akyürek', 'Jacob Andreas']",LexSym: Compositionality as Lexical Symmetry.,ACL,2023
405101,"['Afra Feyza Akyürek', 'Ekin Akyürek', 'Ashwin Kalyan', 'Peter Clark', 'Derry Tanti Wijaya', 'Niket Tandon']",RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs.,ACL,2023
405105,['Duygu Altinok'],A Diverse Set of Freely Available Linguistic Resources for Turkish.,ACL,2023
405108,"['Reinald Kim Amplayo', 'Kellie Webster', 'Michael Collins 0001', 'Dipanjan Das 0001', 'Shashi Narayan']",Query Refinement Prompts for Closed-Book Long-Form QA.,ACL,2023
405109,"['Chantal Amrhein', 'Florian Schottmann', 'Rico Sennrich', 'Samuel Läubli']",Exploiting Biased Models to De-bias Text: A Gender-Fair Rewriting Model.,ACL,2023
405110,"['Shengnan An', 'Zeqi Lin', 'Qiang Fu', 'Bei Chen', 'Nanning Zheng 0001', 'Jian-Guang Lou', 'Dongmei Zhang 0001']",How Do In-Context Examples Affect Compositional Generalization?,ACL,2023
405112,"['Gabriel Herman Bernardim Andrade', 'Shuntaro Yada', 'Eiji Aramaki']",Comparative evaluation of boundary-relaxed annotation for Entity Linking performance.,ACL,2023
405118,"['Mario Ezra Aragón', 'Adrián Pastor López-Monroy', 'Luis Gonzalez', 'David E. Losada', 'Manuel Montes']",DisorBERT: A Double Domain Adaptation Model for Detecting Signs of Mental Disorders in Social Media.,ACL,2023
405119,"['Erik Arakelyan', 'Arnav Arora', 'Isabelle Augenstein']",Topic-Guided Sampling For Data-Efficient Multi-Domain Stance Detection.,ACL,2023
405121,"['Yuki Arase', 'Han Bao 0002', 'Sho Yokoi']",Unbalanced Optimal Transport for Unbalanced Word Alignment.,ACL,2023
405124,"['Akshatha Arodi', 'Martin Pömsl', 'Kaheer Suleman', 'Adam Trischler', 'Alexandra Olteanu', 'Jackie Chi Kit Cheung']",The KITMUS Test: Evaluating Knowledge Integration from Multiple Sources.,ACL,2023
405133,"['Ananya B. Sai', 'Tanay Dixit', 'Vignesh Nagarajan', 'Anoop Kunchukuttan', 'Pratyush Kumar', 'Mitesh M. Khapra', 'Raj Dabre']",IndicMT Eval: A Dataset to Meta-Evaluate Machine Translation Metrics for Indian Languages.,ACL,2023
405136,"['Jinheon Baek', 'Alham Fikri Aji', 'Jens Lehmann 0001', 'Sung Ju Hwang']",Direct Fact Retrieval from Knowledge Graphs without Entity Linking.,ACL,2023
405138,"['Haoli Bai', 'Zhiguang Liu', 'Xiaojun Meng', 'Wentao Li', 'Shuang Liu', 'Yifeng Luo', 'Nian Xie', 'Rongfu Zheng', 'Liangwei Wang', 'Lu Hou', 'Jiansheng Wei', 'Xin Jiang 0002', 'Qun Liu 0001']",Wukong-Reader: Multi-modal Pre-training for Fine-grained Visual Document Understanding.,ACL,2023
405139,"['Raphaël Bailly', 'Laurent Leblond', 'Kata Gábor']",Syntax and Geometry of Information.,ACL,2023
405143,"['Parikshit Bansal', 'Amit Sharma 0007']",Controlling Learned Effects to Reduce Spurious Correlations in Text Classifiers.,ACL,2023
405144,"['Hritik Bansal', 'Karthik Gopalakrishnan', 'Saket Dingliwal', 'Sravan Bodapati', 'Katrin Kirchhoff', 'Dan Roth']",Rethinking the Role of Scale for In-Context Learning: An Interpretability-based Case Study at 66 Billion Scale.,ACL,2023
405146,"['Yuwei Bao', 'Barrett Martin Lattimer', 'Joyce Chai']",Human Inspired Progressive Alignment and Comparative Learning for Grounded Word Acquisition.,ACL,2023
405147,"['Guangsheng Bao', 'Zhiyang Teng', 'Yue Zhang 0004']",Target-Side Augmentation for Document-Level Machine Translation.,ACL,2023
405148,"['Jianzhu Bao', 'Rui Wang 0092', 'Yasheng Wang', 'Aixin Sun', 'Yitong Li', 'Fei Mi', 'Ruifeng Xu']",A Synthetic Data Generation Framework for Grounded Dialogues.,ACL,2023
405149,"['Rong Bao', 'Rui Zheng', 'Liang Ding 0006', 'Qi Zhang 0001', 'Dacheng Tao']",CASN: Class-Aware Score Network for Textual Adversarial Detection.,ACL,2023
405154,"['Martijn Bartelds', 'Nay San', 'Bradley McDonnell', 'Dan Jurafsky', 'Martijn Wieling 0001']",Making More of Little Data: Improving Low-Resource Automatic Speech Recognition Using Data Augmentation.,ACL,2023
405159,"['Mohaddeseh Bastan', 'Mihai Surdeanu', 'Niranjan Balasubramanian']",NEUROSTRUCTURAL DECODING: Neural Text Generation with Structural Constraints.,ACL,2023
405162,"['Björn Bebensee', 'Haejun Lee']",Span-Selective Linear Attention Transformers for Effective and Robust Schema-Guided Dialogue State Tracking.,ACL,2023
405163,"['Shabnam Behzad', 'Keisuke Sakaguchi', 'Nathan Schneider 0001', 'Amir Zeldes']",ELQA: A Corpus of Metalinguistic Questions and Answers about English.,ACL,2023
405165,"['Jonas Belouadi', 'Steffen Eger']",ByGPT5: End-to-End Style-conditioned Poetry Generation with Token-free Language Models.,ACL,2023
405171,"['Chandra Bhagavatula', 'Jena D. Hwang', 'Doug Downey', 'Ronan Le Bras 0001', 'Ximing Lu', 'Lianhui Qin', 'Keisuke Sakaguchi', 'Swabha Swayamdipta', 'Peter West', 'Yejin Choi 0001']",I2D2: Inductive Knowledge Distillation with NeuroLogic and Self-Imitation.,ACL,2023
